Model name,Best hyperparameters,Train score,Validation score,Test score,Main metric,Runtime,MLflow run ID,Model artifact path,Task,Local model path
LinearRegression,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",11.568919510983058,15.412125450380092,17.97549658323734,RMSE,0.017506100004538894,b99bc92bd1b345f383fa6cb347b7fd46,./mlruns/203867875341978885/b99bc92bd1b345f383fa6cb347b7fd46/artifacts/model,RUL Regression,models\LinearRegression_FD004.joblib
RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 25, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",17.34651150350007,28.317497588092625,22.588651487230077,RMSE,1.2274098999332637,e736077ee7a14193b3eb8a8b85ef3db0,./mlruns/203867875341978885/e736077ee7a14193b3eb8a8b85ef3db0/artifacts/model,RUL Regression,models\RandomForest_FD004.joblib
LightGBM_Anomaly,"{""best_threshold"": 0.14, ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""smote_applied"": true, ""subsample"": 0.8, ""threshold_source"": ""validation_f1_sweep_0.01"", ""verbose"": -1}",1.0,0.6229508196721312,0.38636363636363635,F1_Score,4.8584091000957415,4cf215014b9147ea9539e12aac38a1fc,./mlruns/203867875341978885/4cf215014b9147ea9539e12aac38a1fc/artifacts/model,Anomaly Detection,models\LightGBM_Anomaly_FD004.joblib
