Model name,Best hyperparameters,Train score,Validation score,Test score,Main metric,Runtime,MLflow run ID,Model artifact path,Task,Local model path
LinearRegression,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",8.040457327838139,19.709100848402976,17.623061783312647,RMSE,0.019924000022001565,3879ea90308f4fffa447a7b55c1315eb,./mlruns/478754518221550792/3879ea90308f4fffa447a7b55c1315eb/artifacts/model,RUL Regression,models\LinearRegression_FD003.joblib
RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 25, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",5.933698897627116,14.89584822194748,15.559230510723175,RMSE,1.1889624999603257,63af2ce600944855a5ab40d471ff4b56,./mlruns/478754518221550792/63af2ce600944855a5ab40d471ff4b56/artifacts/model,RUL Regression,models\RandomForest_FD003.joblib
LightGBM_Anomaly,"{""best_threshold"": 0.53, ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""smote_applied"": true, ""subsample"": 0.8, ""threshold_source"": ""validation_f1_sweep_0.01"", ""verbose"": -1}",1.0,0.7647058823529411,0.0,F1_Score,5.112425299943425,45c3132512554f9d9d28010d1db34340,./mlruns/478754518221550792/45c3132512554f9d9d28010d1db34340/artifacts/model,Anomaly Detection,models\LightGBM_Anomaly_FD003.joblib
