Model name,Best hyperparameters,Train score,Validation score,Test score,Main metric,Runtime,MLflow run ID,Model artifact path,Task,Local model path
LinearRegression,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",8.91249946416217,21.822112322420026,23.071158927808536,RMSE,0.039003799902275205,a6c453ac550343b7a3cee7c4974c758d,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/282533309440288774/a6c453ac550343b7a3cee7c4974c758d/artifacts/model,RUL Regression,D:\Capstone\MechSage\ML\models\LinearRegression_FD001.joblib
RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 25, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",5.015833120669564,15.024349189802459,16.920445276514634,RMSE,0.8637178000062704,002af41fdb3e442ea9b29c812f541c2f,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/282533309440288774/002af41fdb3e442ea9b29c812f541c2f/artifacts/model,RUL Regression,D:\Capstone\MechSage\ML\models\RandomForest_FD001.joblib
LightGBM_Anomaly,"{""best_threshold"": 0.62, ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""smote_applied"": true, ""subsample"": 0.8, ""threshold_source"": ""validation_f1_sweep_0.01"", ""verbose"": -1}",1.0,0.9375,0.0,F1_Score,5.351992600015365,3b4e4812fa5b43969612582a8bb064ef,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/282533309440288774/3b4e4812fa5b43969612582a8bb064ef/artifacts/model,Anomaly Detection,D:\Capstone\MechSage\ML\models\LightGBM_Anomaly_FD001.joblib
