Model name,Best hyperparameters,Train score,Validation score,Test score,Main metric,Runtime,MLflow run ID,Model artifact path,Task,Local model path
LinearRegression,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",12.673442727926274,19.048939018542256,19.41124871897188,RMSE,0.051724500008276664,db18b68f01f8449894eeacbd3f6824ee,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/db18b68f01f8449894eeacbd3f6824ee/artifacts/model,RUL Regression,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\LinearRegression_FD004.joblib
RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 25, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",5.150220285633122,6.4682847756236015,27.72105764866898,RMSE,1.341933000003337,b1a697f30ad5416db55817baad58c89c,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/b1a697f30ad5416db55817baad58c89c/artifacts/model,RUL Regression,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\RandomForest_FD004.joblib
RandomForest_grid,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 20}",6.899292913727245,6.468079724023787,27.69835376799446,RMSE,4.649057399990852,a49fb55805704e9c87d3bf3ad7171226,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/a49fb55805704e9c87d3bf3ad7171226/artifacts/model,RUL Regression,
RandomForest_random,"{""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 1, ""n_estimators"": 40}",5.122193790941397,6.7206719198555245,27.753651782860594,RMSE,15.672869699992589,3cd26f354f4a4a9e98c4a6958f811dc2,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/3cd26f354f4a4a9e98c4a6958f811dc2/artifacts/model,RUL Regression,
RandomForest_optuna,"{""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 2, ""n_estimators"": 51}",10.368797433954425,7.609556125218092,27.46204929119992,RMSE,4.6285401999921305,35f6328cff574122a85c5f5d273d24ac,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/35f6328cff574122a85c5f5d273d24ac/artifacts/model,RUL Regression,
XGBoost_grid,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",5.170807002241552,5.06325494840686,25.912724103769747,RMSE,2.609895800007507,6ba4cf8df1414e3a8184290365941727,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/6ba4cf8df1414e3a8184290365941727/artifacts/model,RUL Regression,
XGBoost_random,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 2, ""n_estimators"": 80, ""subsample"": 0.7}",5.230407024842974,5.47570378967297,25.389217229278728,RMSE,16.802344099996844,9e951ad1d19f4eacb82dfeedbe5fa9b6,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/9e951ad1d19f4eacb82dfeedbe5fa9b6/artifacts/model,RUL Regression,
XGBoost_optuna,"{""colsample_bytree"": 0.7468055921327309, ""learning_rate"": 0.1785436060870726, ""max_depth"": 4, ""n_estimators"": 59, ""subsample"": 0.8795975452591109}",2.589190488723324,6.8484094033852605,22.180639844856596,RMSE,4.509716599990497,b6e563cc05d84f3380f413413057495d,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/b6e563cc05d84f3380f413413057495d/artifacts/model,RUL Regression,
LightGBM_grid,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",5.203263815631534,5.460073212722465,25.83964232962572,RMSE,1.1552181000006385,05dcf21d992b4e728e183caa3d050795,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/05dcf21d992b4e728e183caa3d050795/artifacts/model,RUL Regression,
LightGBM_random,"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 80, ""num_leaves"": 63, ""subsample"": 0.7}",3.095524362849091,5.688481551067239,25.766622766220102,RMSE,9.416336000009323,26b75f4ebe1843f3a43d2e2213673c92,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203867875341978885/26b75f4ebe1843f3a43d2e2213673c92/artifacts/model,RUL Regression,
