Model name,Best hyperparameters,Train score,Validation score,Test score,Main metric,Runtime,MLflow run ID,Model artifact path,Task,Local model path
LinearRegression,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}",12.939377211103421,22.396446796482298,27.13207200079962,RMSE,0.03792280000016035,d46a73cf30eb4b148408821506c7a88e,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203621584362175723/d46a73cf30eb4b148408821506c7a88e/artifacts/model,RUL Regression,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\LinearRegression_FD002.joblib
RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 25, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",16.966292537417896,32.74946927364314,35.81202359302123,RMSE,0.7030315000001792,3ef33b2a6a0b42cb890108529f360778,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203621584362175723/3ef33b2a6a0b42cb890108529f360778/artifacts/model,RUL Regression,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\RandomForest_FD002.joblib
IsolationForest,"{""bootstrap"": false, ""contamination"": 0.05, ""fit_data"": ""nominal_train_rows"", ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42, ""threshold"": 0.4499495446959515, ""verbose"": 0, ""warm_start"": false}",0.24526198439241917,0.20945945945945946,0.0821917808219178,F1_Score,0.21862229999987903,0460b1143c9942b8aad8351e18b15e60,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203621584362175723/0460b1143c9942b8aad8351e18b15e60/artifacts/model,Anomaly Detection,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\IsolationForest_FD002.joblib
LightGBM_Anomaly,"{""class_weight"": ""balanced"", ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 120, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""threshold"": 0.9209352615971793, ""threshold_source"": ""validation_f1"", ""verbose"": -1}",1.0,0.5401459854014599,0.5168539325842697,F1_Score,0.7518786000000546,977d73f95a1848dd88cd79d03ed62a5a,file:///D:/Capstone/MechSage/NASA_CMAPSS_RUL_Project/mlruns/203621584362175723/977d73f95a1848dd88cd79d03ed62a5a/artifacts/model,Anomaly Detection,D:\Capstone\MechSage\NASA_CMAPSS_RUL_Project\models\LightGBM_Anomaly_FD002.joblib
